1|Nahuel GUZMAN|Argentina|GUZMÁN|Nahuel Ignacio|GUZMÁN|10.02.1986|GK|Tigres (MEX)|192|6|0
2|Gabriel MERCADO|Argentina|MERCADO|Gabriel Ivan|MERCADO|18.03.1987|DF|Sevilla FC (ESP)|181|20|3
3|Nicolas TAGLIAFICO|Argentina|TAGLIAFICO|Nicolás Alejandro|TAGLIAFICO|31.08.1992|DF|Ajax (NED)|169|4|0
4|Cristian ANSALDI|Argentina|ANSALDI|Cristian Daniel|ANSALDI|20.09.1986|DF|Torino (ITA)|181|5|1
5|Lucas BIGLIA|Argentina|BIGLIA|Lucas Rodrigo|BIGLIA|30.01.1986|MF|AC Milan (ITA)|175|57|1
6|Federico FAZIO|Argentina|FAZIO|Federico Julián|FAZIO|17.03.1987|DF|AS Roma (ITA)|199|9|1
7|Ever BANEGA|Argentina|BANEGA|Ever Maximiliano David|BANEGA|29.06.1988|MF|Sevilla FC (ESP)|175|62|6
8|Marcos ACUNA|Argentina|ACUÑA|Marcos Javier|ACUÑA|28.10.1991|DF|Sporting CP (POR)|172|10|0
9|Gonzalo HIGUAIN|Argentina|HIGUAIN|Gonzalo Gerardo|HIGUAÍN|10.12.1987|FW|Juventus (ITA)|184|72|31
10|Lionel MESSI|Argentina|MESSI|Lionel Andres|MESSI|24.06.1987|FW|FC Barcelona (ESP)|170|124|64
11|Angel DI MARIA|Argentina|DI MARIA|Angel Fabian|DI MARÍA|14.02.1988|MF|Paris Saint-Germain (FRA)|178|94|19
12|Franco ARMANI|Argentina|ARMANI|Franco|ARMANI|16.10.1986|GK|River Plate (ARG)|189|0|0
13|Maximiliano MEZA|Argentina|MEZA|Maximiliano Eduardo|MEZA|15.12.1992|MF|Independiente (ARG)|180|2|0
14|Javier MASCHERANO|Argentina|MASCHERANO|Javier Alejandro|MASCHERANO|08.06.1984|DF|Hebei Huabei (CHN)|174|143|3
15|Enzo PEREZ|Argentina|PEREZ|Enzo Nicolas|PÉREZ|22.02.1986|MF|River Plate (ARG)|178|23|1
16|Marcos ROJO|Argentina|ROJO|Faustino Marcos Alberto|MARCOS ROJO|20.03.1990|DF|Manchester United (ENG)|189|56|2
17|Nicolas OTAMENDI|Argentina|OTAMENDI|Nicolas Hernan Gonzalo|OTAMENDI|12.02.1988|DF|Manchester City (ENG)|181|54|4
18|Eduardo SALVIO|Argentina|SALVIO|Eduardo Antonio|SALVIO|13.07.1990|DF|Benfica (POR)|167|9|0
19|Sergio AGUERO|Argentina|AGÜERO|Sergio Leonel|KUN AGUERO|02.06.1988|FW|Manchester City (ENG)|172|85|37
20|Giovani LO CELSO|Argentina|LO CELSO|Giovani|LO CELSO|09.04.1996|MF|Paris Saint-Germain (FRA)|177|5|0
21|Paulo DYBALA|Argentina|DYBALA|Paulo Exequiel|DYBALA|15.11.1993|FW|Juventus (ITA)|177|12|0
22|Cristian PAVON|Argentina|PAVÓN|Cristian David|PAVÓN|21.01.1996|MF|Boca Juniors (ARG)|169|5|0
23|Wilfredo CABALLERO|Argentina|CABALLERO|Wilfredo Daniel|CABALLERO|28.09.1981|GK|Chelsea (ENG)|186|3|0
1|Mathew RYAN|Australia|RYAN|Mathew David|RYAN|08.04.1992|GK|Brighton (ENG)|184|44|0
2|Milos DEGENEK|Australia|DEGENEK|Milos|DEGENEK|28.04.1994|DF|Yokohama F Marinos (JPN)|187|18|0
3|James MEREDITH|Australia|MEREDITH|James Gregory|MEREDITH|05.04.1988|DF|Millwall (ENG)|179|2|0
4|Tim CAHILL|Australia|CAHILL|Timothy Filiga|CAHILL|06.12.1979|FW|Millwall (ENG)|180|106|50
5|Mark MILLIGAN|Australia|MILLIGAN|Mark Daniel|MILLIGAN|04.08.1985|DF|Al Ahli (KSA)|178|68|6
6|Matthew JURMAN|Australia|JURMAN|Matthew John|JURMAN|08.12.1989|DF|Suwon Samsung Bluewings (KOR)|190|4|0
7|Mathew LECKIE|Australia|LECKIE|Mathew Allan|LECKIE|04.02.1991|FW|Hertha BSC (GER)|181|53|8
8|Massimo LUONGO|Australia|LUONGO|Massimo Corey|LUONGO|25.09.1992|MF|Queens Park Rangers (ENG)|176|36|5
9|Tomi JURIC|Australia|JURIC|Tomi|JURIC|22.07.1991|FW|FC Luzern (SUI)|190|35|8
10|Robbie KRUSE|Australia|KRUSE|Robbie Thomas|KRUSE|05.10.1988|FW|VfL Bochum (GER)|180|64|5
11|Andrew NABBOUT|Australia|NABBOUT|Andrew|NABBOUT|17.12.1992|FW|Urawa Reds (JPN)|178|4|1
12|Brad JONES|Australia|JONES|Bradley Scott|JONES|19.03.1982|GK|Feyenoord (NED)|193|6|0
13|Aaron MOOY|Australia|MOOY|Aaron Frank|MOOY|15.09.1990|MF|Huddersfield (ENG)|173|34|5
14|Jamie MacLAREN|Australia|MACLAREN|Jamie|MACLAREN|29.07.1993|FW|Hibernian (SCO)|178|6|0
15|Mile JEDINAK|Australia|JEDINAK|Michael John|JEDINAK|03.08.1984|MF|Aston Villa (ENG)|188|76|18
16|Aziz BEHICH|Australia|BEHICH|Aziz|BEHICH|16.12.1990|DF|Bursaspor (TUR)|170|23|2
17|Daniel ARZANI|Australia|ARZANI|Daniel|ARZANI|04.01.1999|FW|Melbourne City Football Club (AUS)|171|2|1
18|Danny VUKOVIC|Australia|VUKOVIC|Daniel|VUKOVIC|27.03.1985|GK|Racing Genk (BEL)|187|1|0
19|Joshua RISDON|Australia|RISDON|Joshua Robert|RISDON|27.07.1992|DF|WS Wanderers FC (AUS)|169|8|0
20|Trent SAINSBURY|Australia|SAINSBURY|Trent Lucas|SAINSBURY|05.01.1992|DF|Grasshoppers (SUI)|183|35|3
21|Dimitrios PETRATOS|Australia|PETRATOS|Dimitrios|PETRATOS|10.11.1992|FW|Newcastle Jets (AUS)|176|2|0
22|Jackson IRVINE|Australia|IRVINE|Jackson Alexander|IRVINE|07.03.1993|MF|Hull City (ENG)|180|19|2
23|Tom ROGIC|Australia|ROGIC|Tomas Petar|ROGIC|16.12.1992|MF|Celtic (SCO)|189|37|7
1|Thibaut COURTOIS|Belgium|COURTOIS|Thibaut Nicolas|COURTOIS|11.05.1992|GK|Chelsea (ENG)|199|58|0
2|Toby ALDERWEIRELD|Belgium|ALDERWEIRELD|Toby Albertine|ALDERWEIRELD|02.03.1989|DF|Tottenham Hotspur (ENG)|186|77|3
3|Thomas VERMAELEN|Belgium|VERMAELEN|Thomas|VERMAELEN|14.11.1985|DF|FC Barcelona (ESP)|183|66|1
4|Vincent KOMPANY|Belgium|KOMPANY|Vincent Jean|KOMPANY|10.04.1986|DF|Manchester City (ENG)|190|77|4
5|Jan VERTONGHEN|Belgium|VERTONGHEN|Jan Bert|VERTONGHEN|24.04.1987|DF|Tottenham Hotspur (ENG)|189|102|8
6|Axel WITSEL|Belgium|WITSEL|Axel Laurent|WITSEL|12.01.1989|MF|Tianjin Quanjian Football Club (CHN)|186|90|9
7|Kevin DE BRUYNE|Belgium|DE BRUYNE|Kevin|DE BRUYNE|28.06.1991|MF|Manchester City (ENG)|181|62|14
8|Marouane FELLAINI|Belgium|FELLAINI-BAKKIOUI|Marouane|FELLAINI|22.11.1987|MF|Manchester United (ENG)|194|82|17
9|Romelu LUKAKU|Belgium|LUKAKU BOLINGOLI|Romelu|R. LUKAKU|13.05.1993|FW|Manchester United (ENG)|190|69|36
10|Eden HAZARD|Belgium|HAZARD|Eden Michael|E. HAZARD|07.01.1991|FW|Chelsea (ENG)|173|86|22
11|Yannick CARRASCO|Belgium|FERREIRA CARRASCO|Yannick|CARRASCO|04.09.1993|MF|Dalian Yifang Football Club (CHN)|180|26|5
12|Simon MIGNOLET|Belgium|MIGNOLET|Simon Luc|MIGNOLET|06.03.1988|GK|Liverpool (ENG)|193|21|0
13|Koen CASTEELS|Belgium|CASTEELS|Koen|CASTEELS|25.06.1992|GK|VfL Wolfsburg (GER)|197|0|0
14|Dries MERTENS|Belgium|MERTENS|Dries|MERTENS|06.05.1987|FW|SSC Napoli (ITA)|169|69|14
15|Thomas MEUNIER|Belgium|MEUNIER|Thomas|MEUNIER|12.09.1991|DF|Paris Saint-Germain (FRA)|190|25|5
16|Thorgan HAZARD|Belgium|HAZARD|Thorgan Ganael Francis|T. HAZARD|29.03.1993|MF|Borussia Moenchengladbach (GER)|174|11|1
17|Youri TIELEMANS|Belgium|TIELEMANS|Youri|TIELEMANS|07.05.1997|MF|AS Monaco (FRA)|176|9|0
18|Adnan JANUZAJ|Belgium|JANUZAJ|Adnan|JANUZAJ|05.02.1995|FW|Real Sociedad (ESP)|180|8|0
19|Moussa DEMBELE|Belgium|DEMBELE|Moussa Sidi Yaya|DEMBELE|16.07.1987|MF|Tottenham Hotspur (ENG)|185|76|5
20|Dedryck BOYATA|Belgium|BOYATA|Dedryck Anga|BOYATA|28.11.1990|DF|Celtic (SCO)|188|7|0
21|Michy BATSHUAYI|Belgium|BATSHUAYI TUNGA|Michy|BATSHUAYI|02.10.1993|FW|Borussia Dortmund (GER)|185|16|7
22|Nacer CHADLI|Belgium|CHADLI|Nacer|CHADLI|02.08.1989|MF|West Bromwich Albion FC (ENG)|187|45|5
23|Leander DENDONCKER|Belgium|DENDONCKER|Leander|DENDONCKER|15.04.1995|DF|Anderlecht (BEL)|188|5|0
1|ALISSON|Brazil|BECKER|Alisson Ramses|A. BECKER|02.10.1992|GK|AS Roma (ITA)|193|26|0
2|THIAGO SILVA|Brazil|EMILIANO DA SILVA|Thiago|T. SILVA|22.09.1984|DF|Paris Saint-Germain (FRA)|183|71|5
3|MIRANDA|Brazil|MIRANDA DE SOUZA FILHO|Joao|MIRANDA|07.09.1984|DF|Internazionale (ITA)|186|47|2
4|PEDRO GEROMEL|Brazil|TONON GEROMEL|Pedro|GEROMEL|21.09.1985|DF|Grêmio (BRA)|190|2|0
5|CASEMIRO|Brazil|CASIMIRO|Carlos Henrique|CASEMIRO|23.02.1992|MF|Real Madrid (ESP)|185|24|0
6|FILIPE LUIS|Brazil|KASMIRSKI|Filipe Luis|FILIPE LUIS|09.08.1985|DF|Atlético Madrid (ESP)|182|33|2
7|DOUGLAS COSTA|Brazil|COSTA DE SOUZA|Douglas|D. COSTA|14.09.1990|FW|Juventus (ITA)|182|25|3
8|RENATO AUGUSTO|Brazil|SOARES DE OLIVEIRA AUGUSTO|Renato|R. AUGUSTO|08.02.1988|MF|Beijing Guoan (CHN)|186|28|5
9|GABRIEL JESUS|Brazil|DE JESUS|Gabriel Fernando|G. JESUS|03.04.1997|FW|Manchester City (ENG)|175|17|10
10|NEYMAR|Brazil|DA SILVA SANTOS JUNIOR|Neymar|NEYMAR JR|05.02.1992|FW|Paris Saint-Germain (FRA)|175|85|55
11|PHILIPPE COUTINHO|Brazil|COUTINHO CORREIA|Philippe|P. COUTINHO|12.06.1992|MF|FC Barcelona (ESP)|172|36|10
12|MARCELO|Brazil|VIEIRA DA SILVA JUNIOR|Marcelo|MARCELO|12.05.1988|DF|Real Madrid (ESP)|174|55|6
13|MARQUINHOS|Brazil|AOAS CORREA|Marcos|MARQUINHOS|14.05.1994|DF|Paris Saint-Germain (FRA)|183|26|0
14|DANILO|Brazil|DA SILVA|Danilo Luiz|DANILO|15.07.1991|DF|Manchester City (ENG)|184|18|0
15|PAULINHO|Brazil|BEZERRA MACIEL JÚNIOR|José Paulo|PAULINHO|25.07.1988|MF|FC Barcelona (ESP)|181|50|12
16|CASSIO|Brazil|RAMOS|Cassio|CASSIO|06.06.1987|GK|SC Corinthians (BRA)|195|1|0
17|FERNANDINHO|Brazil|ROZA|Fernando Luiz|FERNANDINHO|04.05.1985|MF|Manchester City (ENG)|179|44|2
18|FRED|Brazil|RODRIGUES DE PAULA SANTOS|Frederico|FRED|05.03.1993|MF|Shakhtar Donetsk (UKR)|169|8|0
19|WILLIAN|Brazil|BORGES DA SILVA|Willian|WILLIAN|09.08.1988|MF|Chelsea (ENG)|175|57|8
20|ROBERTO FIRMINO|Brazil|BARBOSA DE OLIVEIRA|Roberto Firmino|FIRMINO|02.10.1991|FW|Liverpool (ENG)|181|21|6
21|TAISON|Brazil|BARCELLOS FREDA|Taison|TAISON|13.01.1988|FW|Shakhtar Donetsk (UKR)|172|8|1
22|FAGNER|Brazil|CONSERVA LEMOS|Fagner|FAGNER|11.06.1989|DF|SC Corinthians (BRA)|168|4|0
23|EDERSON|Brazil|SANTANA DE MORAES|Ederson|EDERSON|17.08.1993|GK|Manchester City (ENG)|188|1|0
1|David OSPINA|Colombia|OSPINA RAMIREZ|David|OSPINA|31.08.1988|GK|Arsenal (ENG)|183|83|0
2|Cristian ZAPATA|Colombia|ZAPATA VALENCIA|Cristian Eduardo|C. ZAPATA|30.09.1986|DF|AC Milan (ITA)|187|52|2
3|Oscar MURILLO|Colombia|MURILLO MURILLO|Oscar Fabian|O. MURILLO|18.04.1988|DF|CF Pachuca (MEX)|184|13|0
4|Santiago ARIAS|Colombia|ARIAS NARANJO|Santiago|ARIAS|13.01.1992|DF|PSV (NED)|177|41|0
5|Wilmar BARRIOS|Colombia|BARRIOS TERAN|Wilmar Enrique|BARRIOS|16.10.1993|MF|Boca Juniors (ARG)|178|10|0
6|Carlos SANCHEZ|Colombia|SANCHEZ MORENO|Carlos Alberto|C. SANCHEZ|06.02.1986|MF|RCD Espanyol (ESP)|182|80|0
7|Carlos BACCA|Colombia|BACCA AHUMADA|Carlos Arturo|BACCA|08.09.1986|FW|Villarreal CF (ESP)|181|45|14
8|Abel AGUILAR|Colombia|AGUILAR TAPIAS|Abel Enrique|AGUILAR T.|06.01.1985|MF|Cali (COL)|185|69|8
9|Radamel FALCAO|Colombia|GARCIA ZARATE|Radamel Falcao|FALCAO|10.02.1986|FW|AS Monaco (FRA)|177|65|29
10|James RODRIGUEZ|Colombia|RODRIGUEZ RUBIO|James David|JAMES|12.07.1991|MF|Bayern München (GER)|180|63|21
11|Juan CUADRADO|Colombia|CUADRADO BELLO|Juan Guillermo|CUADRADO|26.05.1988|MF|Juventus (ITA)|179|69|7
12|Camilo VARGAS|Colombia|VARGAS GIL|Camilo Andres|C. VARGAS|09.03.1989|GK|Cali (COL)|185|5|0
13|Yerry MINA|Colombia|MINA GONZALEZ|Yerry Fernando|Y. MINA|23.09.1994|DF|FC Barcelona (ESP)|194|12|3
14|Luis MURIEL|Colombia|MURIEL FRUTO|Luis Fernando|L. MURIEL|16.04.1991|FW|Sevilla FC (ESP)|178|18|2
15|Mateus URIBE|Colombia|URIBE VILLA|Andres Mateus|M. URIBE|21.03.1991|MF|America (MEX)|182|8|0
16|Jefferson LERMA|Colombia|LERMA SOLIS|Jefferson Andrés|J. LERMA|25.10.1994|MF|Levante UD (ESP)|179|5|0
17|Johan MOJICA|Colombia|MOJICA PALACIO|Johan Andrés|J. MOJICA|21.08.1992|DF|Girona Futbol Club (ESP)|185|4|1
18|Farid DIAZ|Colombia|DIAZ RHENALS|Farid Alfonso|F. DIAZ|20.07.1983|DF|Olimpia (PAR)|170|13|0
19|Miguel BORJA|Colombia|BORJA HERNANDEZ|Miguel Angel|M. BORJA|26.01.1993|FW|Palmeiras (BRA)|183|7|2
20|Juan QUINTERO|Colombia|QUINTERO PANIAGUA|Juan Fernando|J. QUINTERO|18.01.1993|MF|River Plate (ARG)|169|15|2
21|Jose IZQUIERDO|Colombia|IZQUIERDO MENA|José Heriberto|IZQUIERDO|07.07.1992|FW|Brighton (ENG)|171|5|1
22|Jose CUADRADO|Colombia|CUADRADO ROMERO|José Fernando|J.F. CUADRADO|01.06.1985|GK|Once Caldas (COL)|180|1|0
23|Davinson SANCHEZ|Colombia|SANCHEZ MINA|Davinson|D. SANCHEZ|12.06.1996|DF|Tottenham Hotspur (ENG)|187|9|0
1|Keylor NAVAS|Costa Rica|NAVAS GAMBOA|Keilor Antonio|K. NAVAS|15.12.1986|GK|Real Madrid (ESP)|185|81|0
2|Johnny ACOSTA|Costa Rica|ACOSTA ZAMORA|Jhonny|J. ACOSTA|21.07.1983|DF|Águilas Doradas Rionegro (COL)|176|66|2
3|Giancarlo GONZALEZ|Costa Rica|GONZALEZ CASTRO|Giancarlo|G. GONZALEZ|08.02.1988|DF|Bologna (ITA)|186|68|2
4|Ian SMITH|Costa Rica|SMITH QUIROS|Ian Rey|I. SMITH|06.03.1998|DF|Norrkoping (SWE)|177|4|0
5|Celso BORGES|Costa Rica|BORGES MORA|Celso|C. BORGES|27.05.1988|MF|Deportivo La Coruña (ESP)|187|111|18
6|Oscar DUARTE|Costa Rica|DUARTE GAITAN|Oscar Esau|O. DUARTE|03.06.1989|DF|RCD Espanyol (ESP)|186|36|2
7|Christian BOLANOS|Costa Rica|BOLAÑOS NAVARRO|Christian|C. BOLAÑOS|17.05.1984|MF|Saprissa (CRC)|178|82|7
8|Bryan OVIEDO|Costa Rica|OVIEDO JIMENEZ|Bryan Josue|B. OVIEDO|18.02.1990|DF|Sunderland (ENG)|172|42|1
9|Daniel COLINDRES|Costa Rica|COLINDRES SOLERA|Daniel|D. COLINDRES|10.01.1985|MF|Saprissa (CRC)|180|11|0
10|Bryan RUIZ|Costa Rica|RUIZ GONZALEZ|Bryan Jafet|BRYAN|18.08.1985|MF|Sporting CP (POR)|187|109|24
11|Johan VENEGAS|Costa Rica|VENEGAS ULLOA|Johan Alberto|J. VENEGAS|27.11.1988|FW|Saprissa (CRC)|183|47|10
12|Joel CAMPBELL|Costa Rica|CAMPBELL SAMUELS|Joel Nathaniel|J. CAMPBELL|26.06.1992|FW|Real Betis (ESP)|178|77|15
13|Rodney WALLACE|Costa Rica|WALLACE BURNS|Rodney|R. WALLACE|17.06.1988|MF|New York City Football Club (USA)|180|28|4
14|Randall AZOFEIFA|Costa Rica|AZOFEIFA CORRALES|Randall|R. AZOFEIFA|30.12.1984|MF|Herediano (CRC)|182|59|3
15|Francisco CALVO|Costa Rica|CALVO QUESADA|Francisco Javier|F. CALVO|08.07.1992|DF|Minnesota (USA)|180|36|4
16|Cristian GAMBOA|Costa Rica|GAMBOA LUNA|Cristian Esteban|C. GAMBOA|24.10.1989|DF|Celtic (SCO)|175|68|3
17|Yeltsin TEJEDA|Costa Rica|TEJEDA VALVERDE|Yeltsin Ignacio|Y. TEJEDA|17.03.1992|MF|Lausanne (SUI)|179|49|0
18|Patrick PEMBERTON|Costa Rica|PEMBERTON BERNARD|Patrick Alberto|P. PEMBERTON|24.04.1982|GK|Alajuelense (CRC)|178|39|0
19|Kendall WASTON|Costa Rica|WASTON MANLEY|Kendall Jamaal|K. WASTON|01.01.1988|DF|Vancouver Whitecaps (CAN)|196|25|2
20|David GUZMAN|Costa Rica|GUZMAN PEREZ|David|D. GUZMAN|18.02.1990|MF|Portland Timbers (USA)|176|45|0
21|Marcos URENA|Costa Rica|UREÑA PORRAS|Marcos Danilo|M. UREÑA|05.03.1990|FW|Los Angeles Football Club (USA)|181|62|14
22|Ronald MATARRITA|Costa Rica|MATARRITA ULATE|Ronald Alberto|R. MATARRITA|09.07.1994|DF|New York City Football Club (USA)|175|23|2
23|Leonel MOREIRA|Costa Rica|MOREIRA LEDEZMA|Leonel Gerardo|L. MOREIRA|02.04.1990|GK|Herediano (CRC)|179|9|0
1|Dominik LIVAKOVIC|Croatia|LIVAKOVIĆ|Dominik|LIVAKOVIĆ|09.01.1995|GK|Dinamo Zagreb (CRO)|188|1|0
2|Sime VRSALJKO|Croatia|VRSALJKO|Šime|VRSALJKO|10.01.1992|DF|Atlético Madrid (ESP)|181|35|0
3|Ivan STRINIC|Croatia|STRINIĆ|Ivan|STRINIĆ|17.07.1987|DF|Sampdoria (ITA)|186|43|0
4|Ivan PERISIC|Croatia|PERIŠIĆ|Ivan|PERIŠIĆ|02.02.1989|FW|Internazionale (ITA)|186|66|18
5|Vedran CORLUKA|Croatia|ĆORLUKA|Vedran|ĆORLUKA|05.02.1986|DF|Lokomotiv Moskva (RUS)|192|99|4
6|Dejan LOVREN|Croatia|LOVREN|Dejan|LOVREN|05.07.1989|DF|Liverpool (ENG)|188|39|2
7|Ivan RAKITIC|Croatia|RAKITIĆ|Ivan|RAKITIĆ|10.03.1988|MF|FC Barcelona (ESP)|184|92|14
8|Mateo KOVACIC|Croatia|KOVAČIĆ|Mateo|KOVAČIĆ|06.05.1994|MF|Real Madrid (ESP)|178|41|1
9|Andrej KRAMARIC|Croatia|KRAMARIĆ|Andrej|KRAMARIĆ|19.06.1991|FW|1899 Hoffenheim (GER)|177|31|9
10|Luka MODRIC|Croatia|MODRIĆ|Luka|MODRIĆ|09.09.1985|MF|Real Madrid (ESP)|172|106|12
11|Marcelo BROZOVIC|Croatia|BROZOVIĆ|Marcelo|BROZOVIĆ|16.11.1992|MF|Internazionale (ITA)|181|35|6
12|Lovre KALINIC|Croatia|KALINIĆ|Lovre|L. KALINIĆ|03.04.1990|GK|AA Gent (BEL)|201|11|0
13|Tin JEDVAJ|Croatia|JEDVAJ|Tin|JEDVAJ|28.11.1995|DF|Bayer Leverkusen (GER)|184|12|0
14|Filip BRADARIC|Croatia|BRADARIĆ|Filip|BRADARIĆ|11.01.1992|MF|NK Rijeka (CRO)|186|4|0
15|Duje CALETA-CAR|Croatia|ĆALETA-CAR|Duje|ĆALETA-CAR|17.09.1996|DF|Red Bull Salzburg (AUT)|192|1|0
16|Nikola KALINIC|Croatia|KALINIĆ|Nikola|N. KALINIĆ|05.01.1988|FW|AC Milan (ITA)|187|42|15
17|Mario MANDZUKIC|Croatia|MANDŽUKIĆ|Mario|MANDŽUKIĆ|21.05.1986|FW|Juventus (ITA)|190|83|30
18|Ante REBIC|Croatia|REBIĆ|Ante|REBIĆ|21.09.1993|FW|Eintracht Frankfurt (GER)|185|16|1
19|Milan BADELJ|Croatia|BADELJ|Milan|BADELJ|25.02.1989|MF|Fiorentina (ITA)|186|38|1
20|Marko PJACA|Croatia|PJACA|Marko|PJACA|06.05.1995|FW|Schalke 04 (GER)|186|16|1
21|Domagoj VIDA|Croatia|VIDA|Domagoj|VIDA|29.04.1989|DF|Besiktas (TUR)|184|59|2
22|Josip PIVARIC|Croatia|PIVARIĆ|Josip|PIVARIĆ|30.01.1989|DF|Dynamo Kyiv (UKR)|176|19|0
23|Danijel SUBASIC|Croatia|SUBAŠIĆ|Danijel|SUBAŠIĆ|27.10.1984|GK|AS Monaco (FRA)|191|38|0
1|Kasper SCHMEICHEL|Denmark|SCHMEICHEL|Kasper Peter|SCHMEICHEL|05.11.1986|GK|Leicester (ENG)|190|35|0
2|Michael KROHN-DEHLI|Denmark|KROHN-DEHLI|Michael|KROHN-DEHLI|06.06.1983|MF|Deportivo La Coruña (ESP)|171|58|6
3|Jannik VESTERGAARD|Denmark|VESTERGAARD|Jannik|VESTERGAARD|03.08.1992|DF|Borussia Moenchengladbach (GER)|200|16|1
4|Simon KJAER|Denmark|KJAER|Simon Thorup|KJÆR|26.03.1989|DF|Sevilla FC (ESP)|191|75|3
5|Jonas KNUDSEN|Denmark|KNUDSEN|Jonas Hjort|KNUDSEN|16.09.1992|DF|Ipswich Town (ENG)|187|3|0
6|Andreas CHRISTENSEN|Denmark|CHRISTENSEN|Andreas Bodtker|CHRISTENSEN|10.04.1996|DF|Chelsea (ENG)|192|16|1
7|William KVIST|Denmark|KVIST|William Vitved|KVIST|24.02.1985|MF|FC København (DEN)|185|80|2
8|Thomas DELANEY|Denmark|DELANEY|Thomas Joseph|DELANEY|03.09.1991|MF|Werder Bremen (GER)|180|27|4
9|Nicolai JORGENSEN|Denmark|JORGENSEN|Nicolai Mick|N. JØRGENSEN|15.01.1991|FW|Feyenoord (NED)|194|31|8
10|Christian ERIKSEN|Denmark|ERIKSEN|Christian Dannemann|ERIKSEN|14.02.1992|MF|Tottenham Hotspur (ENG)|181|78|22
11|Martin BRAITHWAITE|Denmark|BRAITHWAITE|Martin Christensen|BRAITHWAITE|05.06.1991|FW|Girondins Bordeaux (FRA)|180|20|1
12|Kasper DOLBERG|Denmark|RASMUSSEN|Kasper Dolberg|DOLBERG|06.10.1997|FW|Ajax (NED)|187|6|1
13|Mathias JORGENSEN|Denmark|JORGENSEN|Mathias Jattah-Njie|M. JØRGENSEN|23.04.1990|DF|Huddersfield (ENG)|191|12|0
14|Henrik DALSGAARD|Denmark|DALSGAARD|Henrik|DALSGAARD|27.07.1989|DF|Brentford (ENG)|190|11|0
15|Viktor FISCHER|Denmark|FISCHER|Viktor Gorridsen|FISCHER|09.06.1994|FW|FC København (DEN)|181|19|3
16|Jonas LOSSL|Denmark|LÖSSL|Jonas Bybjerg|LÖSSL|01.02.1989|GK|Huddersfield (ENG)|195|1|0
17|Jens Stryger LARSEN|Denmark|LARSEN|Jens Stryger|STRYGER|21.02.1991|DF|Udinese (ITA)|182|13|1
18|Lukas LERAGER|Denmark|LERAGER|Lukas Reiff|LERAGER|12.07.1993|MF|Girondins Bordeaux (FRA)|186|4|0
19|Lasse SCHONE|Denmark|SCHÖNE|Lasse|SCHÖNE|27.05.1986|MF|Ajax (NED)|178|36|3
20|Yussuf Yurary POULSEN|Denmark|POULSEN|Yussuf Yurary|YURARY|15.06.1994|FW|RasenBallsport Leipzig (GER)|193|28|4
